Squadra;Categoria;"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (text)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#73 (text)";"#74 (text)";"#75 (text)";"#76 (text)";"#77 (text)";"#78 (text)";"#79 (text)";"#80 (text)";"#81 (text)";"#82 (text)";"#83 (text)";"#84 (text)";"#85 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"Regine del kanzlato";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Burattis";"Ludica";"-";"6";"-";"-";"-";"-";"Piacenza e vigevano";"Ossa";"2";"818";"2";"2";"-";"Grande";"Giglio";"Pacifico";"-";"-";"-";"-";"-";"-";"-";"-";"Indomita";"-";"-";"3";"-";"10";"-";"-";"2";"3";"-";"-";"-";"-";"Solve";"-";"Frons";"-";"-";"-";"-";"Nero";"-";"-";"1";"5";"1998";"-";"WALLY";"-";"-";"16:57:49";"22"
"Amici del Mirra";"Ludica";"Mille";"6";"3";"79";"1";"-";"Piacenza e Vigevano ";"Ossa";"2";"818";"5";"-";"-";"-";"Giglio";"Pacifico";"-";"-";"-";"-";"-";"-";"-";"-";"Indomita";"-";"-";"-";"-";"10";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"Frons ";"Dom";"-";"-";"Livellazione";"-";"-";"-";"1";"-";"-";"-";"Wally";"-";"-";"17:56:00";"17"
"I promessi sposi";"Ludica";"Mille";"6";"3";"18";"2";"Eparchia ";"-";"Le ossa";"2";"818";"4";"2";"-";"Grande ";"Giglio";"Pacifico";"1";"4";"-";"-";"-";"1954";"3";"Canonico ";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"9";"31";"Regvl ";"-";"-";"Solve ";"Ada";"Arons";"Dom ";"Poveri";"-";"Livellazione ";"Nero";"2";"-";"1";"5";"1998";"-";"Wally";"Unica";"4";"18:02:01";"37"
"I Bertuzzi";"Ludica";"Mille";"6";"-";"-";"-";"-";"Piacenza e Vigevano ";"Ossa";"2";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"3";"-";"Regvl";"5";"-";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"3";"-";"1";"5";"-";"-";"Wally";"-";"-";"18:01:12";"39"
"Brosky";"Ludica";"Miele";"6";"3";"18";"2";"Eparchia ";"Piacenza e vigevano";"Ossa ";"-";"818";"4";"2";"-";"Grande ";"Giglio ";"Pacifico";"1";"2";"4";"Mamma";"2";"1954";"3";"-";"Indomita ";"-";"2";"-";"-";"10";"-";"-";"2";"3";"31";"-";"5";"-";"Solve";"Ada";"Frons";"Dom";"-";"Pacis";"-";"-";"2";"-";"1";"2";"1998";"-";"Wally";"Unica";"4";"18:01:51";"36"
"I bigiunti";"Ludica";"Mille";"6";"-";"-";"-";"-";"Piacenza e Vigevano ";"Ossa";"-";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"-";"2";"1954";"3";"Canonico";"Indomita";"-";"2";"3";"8";"10";"-";"-";"2";"3";"-";"Regvl";"5";"-";"Solve";"Ada";"Frons";"Dom";"Poveri ";"Pacis";"Livellazione";"Nero";"-";"-";"1";"5";"1998";"Domvs";"-";"-";"-";"17:15:37";"38"
"Walterthedrummer";"Ludica";"Mille";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"Grande";"Giglio";"Pacifico ";"1";"4";"4";"La mamma";"2";"1954";"3";"Canonico";"Indomita ";"Valentino";"2";"3";"9";"10";"Mcml";"Sinistra";"2";"3";"-";"Regvl";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"-";"Nero";"-";"2";"-";"5";"1998";"-";"-";"-";"-";"18:01:53";"35"
"Gruppo TNT";"Ludica";"Mille";"6";"-";"-";"-";"-";"Piacenza e vigevano";"Ossa";"2";"818";"2";"Due";"3";"Il grande";"Giglio";"PACIFICO";"1";"4";"4";" mamma";"2";"1954";"3";"CANONICO";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"3";"-";"Regvl";"5";"-";"Solve";"Ada";"Frons";"DOM";"Poveri";"Della Pace";"Livellazione";"Nere";"-";"-";"1";"5";"1998";"Domus";"Iseo";"-";"-";"17:51:25";"35"
"Scuri";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Disorientate";"Ludica";"Bonus";"7";"3";"18";"2";"Eparchia";"Piacenza e vigevano";"Ossa";"2";"818";"3";"-";"-";"Grande";"Giglio";"-";"-";"-";"-";"-";"-";"-";"3";"Canonico";"Indomita";"-";"-";"3";"-";"10";"-";"-";"2";"3";"31";"Regvl";"-";"-";"Solve";"-";"Frons";"Dom";"Poveri";"Pace";"-";"Nero";"2";"-";"1";"6";"1998";"-";"Wally";"Unica";"4";"17:47:15";"30"
"Le Zaffi";"Ludica";"MILLE";"3";"3";"18";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"-";"GRANDE";"GIGLIO";"-";"-";"4";"4";"MAMMA";"2";"1954";"3";"CANONICO";"Indomita";"Valentino";"-";"-";"10";"10";"MCML";"Sinistra";"2";"3";"31";"REGVL";"-";"Verde";"SOLVE";"-";"FRONS";"-";"POVERI";"PACIS";"-";"NERO";"2";"2";"1";"5";"-";"-";"Wally";"Unica";"4";"17:36:21";"43"
"Le Parmigiane curiose";"Ludica";"-";"6";"3";"18";"2";"EPARCHIA";"PIACENZA E VIGEVANO";"OSSA";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"PATRONO";"INDOMITA";"VALENTINO ";"-";"-";"9";"10";"MCML";"SINISTRA";"-";"-";"31";"REGVL";"-";"VERDE";"-";"-";"FRONS";"-";"POVERI";"PACIS";"-";"-";"2";"2";"1";"-";"-";"-";"WALLY";"UNICA";"4";"18:06:46";"25"
"Intercontinentale";"Ludica";"MILLE";"6";"3";"18";"2";"eparchia";"piacenza e vigevano";"Ossa";"2";"818";"2";"2";"3";"GRANDE";"GIGLIO";"PACIFICO";"1";"4";"4";"MAMMA";"2";"1954";"3";"CANONICO";"indomita";"valentino";"2";"3";"10";"10";"MCML";"SINISTRA";"1";"3";"31";"REGVL";"5";"VERDE";"SOLVE";"ADA";"FRONS";"DOM";"de poveri";"PACIS";"LIVELLAZIONE";"NERO";"2";"2";"1";"5";"1998";"DOMVS";"wally";"unica";"4";"17:50:55";"53"
"Saftastiche Reloaded";"Ludica";"Mille ";"6";"Tre secoli";"18";"2";"Eparchia";"Piacenza e Vigevano ";"Ossa";"2";"818";"2";"2";"3";"Grande";"Corona";"Pacifico";"1";"4";"4";"Mamma ";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"8";"10";"MCML";"Sinistra ";"2";"3";"30";"Regul";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"2";"2";"1";"5";"1998";"DOMUS";"Wally";"Unica";"4";"17:41:38";"49"
"Squinternati";"Ludica";"Mille";"6";"-";"-";"-";"-";"Piacenza e Vigevano ";"Ossa";"2";"-";"-";"2";"3";"Grande";"Giglio";"Pacifico ";"1";"4";"4";"Mamma";"2";"1954";"3";"-";"Indomita";"-";"2";"3";"8";"10";"-";"-";"2";"3";"-";"Regvl";"5";"-";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"-";"-";"1";"5";"1998";"Domvs";"-";"-";"-";"17:14:54";"37"
"Pizza Kebab";"Ludica";"MILLE";"6";"3";"18";"2";"Eparchia";"Vigevano";"Ossa";"2";"818";"3";"2";"3";"GRANDE";"GIGLIO";"PACIFICO";"1";"4";"4";"LA MAMMA";"2";"1954";"3";"CANONICO";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"3";"31";"REGVL";"5";"-";"Solve";"ADA";"Renov";"DOM";"POVERI";"PACIS";"Livellazione";"Nero";"2";"-";"1";"5";"1998";"DOMVS";"Wally";"Unica";"4";"17:57:36";"45"
"Puglia";"Ludica";"-";"6";"-";"-";"-";"-";"Piacenza e vigevano";"Ossa";"2";"818";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Indomita";"-";"-";"3";"-";"10";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"Frons";"-";"-";"-";"-";"Nero";"-";"-";"-";"-";"1998";"-";"-";"-";"-";"16:51:22";"12"
"A.C. PICCHIA";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Ciurma di cappello di paglia";"Ludica";"mille";"-";"-";"-";"-";"-";"-";"-";"-";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"Solve";"ada";"-";"-";"-";"-";"livellazione";"Azzurro";"-";"-";"-";"5";"-";"Domvs";"-";"-";"-";"17:40:07";"16"
"I Nani";"Ludica";"Mille";"6";"3";"79";"1";"-";"Piacenza e Vigevano";"Le sue ossa ";"-";"818";"3";"-";"-";"-";"Giglio";"Pacifico";"-";"4";"-";"I cari";"-";"1954";"3";"Canonico";"Indomita";"-";"2";"-";"3";"10";"-";"-";"-";"3";"31";"Recvl";"5";"-";"-";"Ada";"Frons";"DOM";"Poveri";"Pacis ";"-";"-";"2";"2";"1";"-";"-";"-";"Wally ";"-";"4";"17:53:57";"27"
"Mars1";"Ludica";"Mille";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"9";"10";"Mcml";"Sinistra";"2";"3";"-";"Regvl";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"-";"2";"-";"5";"1998";"-";"-";"-";"-";"18:01:24";"37"
"Shere Khan";"Ludica";"1000";"6";"3";"79";"1";"-";"Piacenza e Vigevano";"Ossa";"2";"818";"5";"-";"-";"-";"Giglio";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Indomita";"-";"-";"-";"-";"10";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"FRONS";"Dom";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"Wally";"-";"-";"17:20:35";"14"
"I divini";"Ludica";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e vigevano";"Le ossa ";"2";"818";"2";"2";"3";"Grande";"Giglio";"-";"1";"4";"4";"Mamma";"1";"-";"3";"Canonico";"Indomita";"Valentino";"-";"3";"7";"10";"MCML";"Sinistra";"2";"3";"31";"Regvl";"5";"Verde";"Solve";"-";"Frons";"DOM";"Poveri";"Pacis";"-";"Nero";"2";"2";"1";"5";"1998";"DOMVS";"WALLY";"Unica";"4";"18:04:24";"47"
"FRECCIOS";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Spie di Vigolzone";"Ludica";"Mille ";"3";"3";"18";"2";"Eparchia";"Piacenza e Vigevano ";"Le Ossa";"2";"818";"2";"2";"-";"Grande ";"Giglio ";"-";"-";"4";"4";"Mamma ";"2";"1954";"3";"Canonico ";"Indomita ";"Valentino ";"-";"-";"10";"10";"MCML";"Sinistra ";"2";"3";"31";"Regvl";"-";"Verde";"Solve";"-";"Frons";"-";"Poveri ";"Pacis";"-";"Nero ";"2";"2";"1";"5";"-";"-";"Wally";"Unica";"4";"17:36:29";"42"
"L’A SQUADRA";"Ludica";"MILLE";"-";"3";"18";"2";"EPARCHIA";"PIACENZA E VIGEVANO";"Ossa";"2";"-";"-";"2";"-";"GRANDE";"CORONA/GIGLIO/STELLE";"-";"-";"4";"4";"MAMMA";"2";"1954";"3";"CANONICO";"INDOMITA";"VALENTINO";"2";"-";"4";"10";"MCML";"Sinistra";"2";"-";"10";"REGVL";"5";"Green";"SOLVE";"-";"-";"DOM";"POVERI";"DELLA PACE";"-";"-";"2";"2";"1";"5";"-";"-";"WALLY";"UNICA";"4";"18:06:22";"36"
"Attila";"Ludica";"-";"-";"3";"8";"2";"EPARCHIA";"PIACENZA E VIGEVANO";"Ossa";"0";"-";"2";"-";"-";"-";"-";"PACIFICO";"-";"4";"4";"MAMMA";"2";"-";"3";"CANONICO";"INDOMITA";"VALENTINO";"2";"-";"10";"10";"MCML";"SINISTRA";"-";"-";"31";"REGVL";"-";"VERDE";"-";"-";"-";"-";"POVERI";"PACIS";"-";"-";"2";"2";"1";"-";"-";"-";"ISEO";"UNICA";"4";"18:07:53";"30"
"BIBEROSS";"Ludica";"Mille";"6";"-";"-";"-";"-";"Piacenza e Vigevano ";"Ossa";"2";"818";"2";"2";"3";"Il grande";"Giglio";"PACIFICO";"1";"4";"4";"La mamma";"2";"1954";"3";"Canonico";"Indomita";"-";"2";"3";"-";"10";"-";"-";"2";"3";"-";"Regul";"5";"-";"Solve";"Ada";"Frons";"Dom";"Poveri";"Della pace";"Livellazione ";"Nero";"-";"-";"1";"5";"1998";"Domus";"Iseo";"-";"-";"17:51:16";"35"
