Squadra;Categoria;"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (text)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#73 (text)";"#74 (text)";"#75 (text)";"#76 (text)";"#77 (text)";"#78 (text)";"#79 (text)";"#80 (text)";"#81 (text)";"#82 (text)";"#83 (text)";"#84 (text)";"#85 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"Ponte girls 1";"Ludica";"Mille";"6";"-";"48";"-";"-";"Piacenza e vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande ";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino ";"2";"3";"-";"10";"-";"-";"2";"3";"-";"Regvl";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"-";"Nero";"2";"2";"1";"5";"1998";"-";"Wally";"-";"4";"17:52:32";"44"
"Sorelle du Nuto";"Ludica";"Fuert";"6";"-";"-";"-";"-";"Piacenza e Vigevano";"-";"3";"818";"-";"3";"3";"Il Grande";"Giglio";"Pacifico";"1";"4";"-";"-";"-";"1954";"3";"Canonico";"Indomita";"-";"-";"3";"-";"-";"-";"-";"2";"3";"-";"Regvl";"-";"-";"Solve";"Ada";"Frons";"Dom";"Poveri";"Della Pace";"-";"Antracite";"-";"-";"-";"5";"-";"-";"-";"-";"-";"17:27:53";"22"
"I mostraccioni";"Ludica";"Mille";"6";"3";"18";"2";"Eparkia";"Piacenza e Vigevano";"Ossa";"2";"818";"3";"2";"-";"Grande";"Giglio con corona";"-";"-";"-";"-";"-";"-";"-";"3";"Canonico";"Indomita";"-";"-";"3";"-";"10";"-";"-";"5";"3";"31";"Regvl";"-";"-";"Solve";"-";"Frons";"-";"Poveri";"Della Pace";"-";"Nero";"3";"-";"1";"5";"1998";"-";"Wally";"Unica";"4";"17:59:49";"29"
"Ponte Girls 2";"Ludica";"Mille";"6";"-";"48";"-";"-";"Piacenza e Vigevano ";"Ossa";"2";"818";"2";"2";"3";"Grande ";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"-";"10";"-";"-";"2";"3";"-";"REGVL";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"-";"Nero";"2";"2";"1";"5";"1998";"-";"Wally";"-";"4";"17:52:37";"44"
"Isabella";"Ludica";"Mille";"6";"3";"18";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"10";"10";"MCML";"Sinistra";"2";"3";"31";"REGVL";"5";"Verde";"Solve";"Adda";"Frons";"Dom";"Poveri";"della Pace";"Livellazione";"Nero";"2";"2";"1";"5";"1998";"Domvs";"Wally";"Unica";"4";"17:55:06";"53"
"Gli Agazzi";"Ludica";"Mille";"3";"3";"18";"2";"Eparchia";"Piacenza e Vigevano ";"Le ossa";"2";"818";"2";"2";"-";"Grande";"Giglio";"-";"-";"4";"4";"La mamma ";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"-";"-";"10";"10";"Mcml";"Sinistra";"2";"3";"31";"Regvl";"-";"Verde";"Solve";"-";"Frons";"-";"Poveri";"Pacis";"-";"Nero";"2";"2";"1";"5";"-";"-";"Wally";"Unica";"4";"17:36:28";"41"
"Intercontinentale";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Anolini Forever";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Eboli";"Ludica";"Miule";"6";"-";"18";"-";"-";"Di Piacenza e di Genova";"Le ossa";"-";"818";"4";"-";"-";"Il grande ";"Calice";"-";"-";"-";"-";"-";"-";"-";"3";"Virtù e gesta";"Indomita";"Valentino ";"-";"3";"-";"10";"SS.CARMELIVIRGINI";"A sinistra";"4";"3";"31";"Regvl";"-";"Verde";"Solve";"-";"Frons";"-";"Poveri";"Pacis";"-";"Grigio";"3";"2";"1";"5";"1998";"-";"WALLY";"Unica";"4";"17:23:34";"23"
"Test";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
